BDM编码,岗位编码,ExternalId
10453,JS131011020,JS131011020JS131011020
10455,JS131011020,JS131011020JS131011020
24983,JS131011020,JS131011020JS131011020
10460,JS131011020,JS131011020JS131011020
10404,JS131011022,JS131011022JS131011022
14009,SD131011006,SD131011006SD131011006
14020,SD131011006,SD131011006SD131011006
Temp011,SD131011012,SD131011012SD131011012
14063,SD131011012,SD131011012SD131011012
14065,SD131011012,SD131011012SD131011012
10596,JS131011001,JS131011001JS131011001
14082,SD131011004,SD131011004SD131011004
21096,EN131011005,EN131011005EN131011005
6751,EN131011005,EN131011005EN131011005
1493,AH131011002,AH131011002AH131011002
